iter	Passed	Remaining
0	347	346942
1	522	260619
2	700	232890
3	877	218612
4	1055	210060
5	1245	206356
6	1407	199652
7	1571	194866
8	1739	191545
9	1894	187598
10	2049	184301
11	2235	184094
12	2401	182335
13	2562	180457
14	2721	178691
15	2876	176876
16	3042	175910
17	3190	174073
18	3363	173685
19	3578	175342
20	3729	173866
21	3904	173583
22	4062	172574
23	4219	171607
24	4382	170918
25	4557	170725
26	4724	170269
27	4872	169138
28	5033	168535
29	5200	168157
30	5366	167742
31	5533	167387
32	5701	167061
33	5887	167275
34	6052	166872
35	6200	166037
36	6375	165946
37	6526	165213
38	6683	164696
39	6849	164391
40	7037	164597
41	7198	164191
42	7360	163816
43	7517	163337
44	7739	164257
45	7928	164440
46	8106	164376
47	8274	164109
48	8431	163638
49	8588	163178
50	8735	162546
51	8894	162149
52	9062	161929
53	9228	161673
54	9404	161583
55	9556	161095
56	9718	160787
57	9877	160424
58	10042	160176
59	10210	159965
60	10365	159554
61	10558	159742
62	10740	159741
63	10902	159455
64	11071	159252
65	11242	159095
66	11396	158698
67	11586	158800
68	11751	158560
69	11910	158242
70	12077	158028
71	12241	157784
72	12399	157457
73	12556	157124
74	12734	157052
75	12916	157034
76	13079	156780
77	13244	156551
78	13398	156204
79	13554	155875
80	13725	155730
81	13892	155528
82	14087	155637
83	14265	155564
84	14413	155156
85	14570	154848
86	14720	154479
87	14890	154314
88	15055	154102
89	15246	154162
90	15417	154005
91	15591	153882
92	15764	153745
93	15920	153449
94	16092	153303
95	16265	153166
96	16440	153051
97	16611	152889
98	16777	152687
99	17205	154845
100	17423	155085
101	17592	154880
102	17757	154642
103	17916	154356
104	18081	154125
105	18257	153981
106	18426	153787
107	18605	153670
108	18775	153480
109	18931	153175
110	19099	152964
111	19260	152705
112	19422	152459
113	19606	152377
114	19780	152226
115	19955	152073
116	20121	151855
117	20271	151517
118	20440	151331
119	20596	151040
120	20757	150790
121	20920	150558
122	21121	150601
123	21283	150356
124	21447	150133
125	21597	149808
126	21761	149589
127	21914	149295
128	22072	149030
129	22253	148927
130	22367	148376
131	22532	148166
132	22691	147923
133	22847	147655
134	23011	147442
135	23189	147322
136	23381	147288
137	23530	146982
138	23687	146728
139	23861	146577
140	24035	146427
141	24195	146196
142	24358	145981
143	24540	145879
144	24702	145657
145	24819	145174
146	24975	144925
147	25141	144734
148	25293	144460
149	25457	144260
150	25636	144140
151	25825	144078
152	25994	143903
153	26145	143628
154	26297	143366
155	26471	143220
156	26638	143032
157	26814	142899
158	26982	142720
159	27131	142440
160	27295	142242
161	27459	142042
162	27636	141910
163	27802	141727
164	27978	141589
165	28149	141425
166	28315	141238
167	28486	141076
168	28646	140859
169	28803	140626
170	29029	140731
171	29236	140744
172	29401	140548
173	29521	140144
174	29685	139946
175	29836	139687
176	29996	139476
177	30154	139254
178	30224	138627
179	30395	138466
180	30550	138235
181	30709	138026
182	30877	137850
183	31033	137627
184	31194	137422
185	31364	137260
186	31578	137288
187	31740	137092
188	31891	136848
189	32052	136646
190	32214	136447
191	32357	136171
192	32533	136032
193	32744	136042
194	32913	135872
195	33087	135728
196	33244	135508
197	33405	135310
198	33570	135125
199	34124	136497
200	34355	136566
201	34525	136393
202	34689	136194
203	34850	135984
204	35172	136399
205	35424	136539
